,house_href
99,/property/qld/north-lakes-4509/24-troon-st-north-lakes-qld-4509-15720657
100,/property/qld/north-lakes-4509/6-knox-st-north-lakes-qld-4509-3157684
101,/property/qld/north-lakes-4509/9-ninderry-st-north-lakes-qld-4509-3156388
102,/property/qld/north-lakes-4509/9-brockman-st-north-lakes-qld-4509-3158180
103,/property/qld/north-lakes-4509/52-pandorea-cct-north-lakes-qld-4509-3153635
104,/property/qld/north-lakes-4509/4-bilby-lane-north-lakes-qld-4509-3153681
105,/property/qld/north-lakes-4509/16-rawlins-cres-north-lakes-qld-4509-5425912
106,/property/qld/north-lakes-4509/9-birkdale-cct-north-lakes-qld-4509-19128086
107,/property/qld/north-lakes-4509/71-cowen-tce-north-lakes-qld-4509-19743285
108,/property/qld/north-lakes-4509/29-bridgeport-dr-north-lakes-qld-4509-3158300
109,/property/qld/north-lakes-4509/1-tufnell-st-north-lakes-qld-4509-4952080
110,/property/qld/north-lakes-4509/3-langer-cct-north-lakes-qld-4509-20228196
111,/property/qld/north-lakes-4509/110-copeland-dr-north-lakes-qld-4509-3157578
112,/property/qld/north-lakes-4509/2-bettong-pl-north-lakes-qld-4509-3158339
113,/property/qld/north-lakes-4509/17-gardenia-pde-north-lakes-qld-4509-5424534
114,/property/qld/north-lakes-4509/15-sandpiper-ave-north-lakes-qld-4509-4048588
115,/property/qld/north-lakes-4509/61-attenborough-cct-north-lakes-qld-4509-20970820
116,/property/qld/north-lakes-4509/9-els-ct-north-lakes-qld-4509-3669780
117,/property/qld/north-lakes-4509/16-quoll-cct-north-lakes-qld-4509-20947335
118,/property/qld/north-lakes-4509/45-grampion-cct-north-lakes-qld-4509-5421027
119,/property/qld/north-lakes-4509/75-pademelon-cct-north-lakes-qld-4509-15840145
120,/property/qld/north-lakes-4509/7-whitfield-cres-north-lakes-qld-4509-5422592
