name,year,odokm,price,grade,drive,owner,url,date
2008 Toyota Kluger Grande Auto AWD,2008,265000,16995,3,AWD,private,https://www.carsales.com.au/cars/details/2008-toyota-kluger-grande-auto-awd/SSE-AD-7435356/,2022-06-03 21:52:03.293199
2009 Toyota Kluger KX-R Auto AWD,2009,134872,19990,1,AWD,dealer,https://www.carsales.com.au/cars/details/2009-toyota-kluger-kx-r-auto-awd/OAG-AD-20785818/,2022-06-03 21:52:03.293199
2009 Toyota Kluger Grande Auto AWD,2009,168735,19999,3,AWD,dealer,https://www.carsales.com.au/cars/details/2009-toyota-kluger-grande-auto-awd/OAG-AD-20663918/,2022-06-03 21:52:03.293199
2009 Toyota Kluger Altitude Auto AWD,2009,167308,18990,1,AWD,dealer,https://www.carsales.com.au/cars/details/2009-toyota-kluger-altitude-auto-awd/OAG-AD-20766268/,2022-06-03 21:52:03.293199
2009 Toyota Kluger KX-R Auto 2WD,2009,242000,10500,1,2WD,private,https://www.carsales.com.au/cars/details/2009-toyota-kluger-kx-r-auto-2wd/SSE-AD-12697692/,2022-06-03 21:52:03.293199
2010 Toyota Kluger KX-R Auto AWD MY11,2010,204300,18000,1,AWD,private,https://www.carsales.com.au/cars/details/2010-toyota-kluger-kx-r-auto-awd-my11/SSE-AD-7235522/,2022-06-03 21:52:03.293199
2010 Toyota Kluger KX-R Auto 2WD,2010,183000,16500,1,2WD,private,https://www.carsales.com.au/cars/details/2010-toyota-kluger-kx-r-auto-2wd/SSE-AD-4583122/,2022-06-03 21:52:03.293199
2010 Toyota Kluger KX-S Auto 2WD,2010,185000,25999,2,2WD,private,https://www.carsales.com.au/cars/details/2010-toyota-kluger-kx-s-auto-2wd/SSE-AD-3608521/,2022-06-03 21:52:03.293199
2010 Toyota Kluger KX-S Auto 2WD MY11,2010,223668,18999,2,2WD,dealer,https://www.carsales.com.au/cars/details/2010-toyota-kluger-kx-s-auto-2wd-my11/OAG-AD-20781016/,2022-06-03 21:52:03.293199
2010 Toyota Kluger Altitude Auto AWD,2010,141329,19999,1,AWD,dealer,https://www.carsales.com.au/cars/details/2010-toyota-kluger-altitude-auto-awd/OAG-AD-20760585/,2022-06-03 21:52:03.293199
2010 Toyota Kluger Grande Auto AWD,2010,172664,18500,3,AWD,private,https://www.carsales.com.au/cars/details/2010-toyota-kluger-grande-auto-awd/SSE-AD-12673604/,2022-06-03 21:52:03.293199
2010 Toyota Kluger Grande Auto 2WD,2010,190418,19487,3,2WD,dealer,https://www.carsales.com.au/cars/details/2010-toyota-kluger-grande-auto-2wd/OAG-AD-20792720/,2022-06-03 21:52:03.293199
2010 Toyota Kluger KX-R Auto 2WD,2010,168744,16969,1,2WD,dealer,https://www.carsales.com.au/cars/details/2010-toyota-kluger-kx-r-auto-2wd/OAG-AD-20751412/,2022-06-03 21:52:03.293199
2010 Toyota Kluger KX-R Auto AWD MY11,2010,205000,15500,1,AWD,private,https://www.carsales.com.au/cars/details/2010-toyota-kluger-kx-r-auto-awd-my11/SSE-AD-12512572/,2022-06-03 21:52:03.293199
2010 Toyota Kluger KX-S Auto 2WD MY11,2010,214000,16500,2,2WD,private,https://www.carsales.com.au/cars/details/2010-toyota-kluger-kx-s-auto-2wd-my11/SSE-AD-12878372/,2022-06-03 21:52:03.293199
2010 Toyota Kluger KX-R Auto 2WD,2010,180319,17990,1,2WD,private,https://www.carsales.com.au/cars/details/2010-toyota-kluger-kx-r-auto-2wd/OAG-AD-20654630/,2022-06-03 21:52:03.293199
2011 Toyota Kluger KX-S Auto 2WD MY11,2011,149000,23000,2,2WD,private,https://www.carsales.com.au/cars/details/2011-toyota-kluger-kx-s-auto-2wd-my11/SSE-AD-7378921/,2022-06-03 21:52:03.293199
2011 Toyota Kluger KX-R Auto 2WD MY11,2011,138900,19995,1,2WD,dealer,https://www.carsales.com.au/cars/details/2011-toyota-kluger-kx-r-auto-2wd-my11/OAG-AD-20795694/,2022-06-03 21:52:03.293199
2011 Toyota Kluger KX-R Auto AWD MY11,2011,212216,19500,1,AWD,private,https://www.carsales.com.au/cars/details/2011-toyota-kluger-kx-r-auto-awd-my11/SSE-AD-12903815/,2022-06-03 21:52:03.293199
2011 Toyota Kluger KX-R Auto 2WD MY11,2011,198000,15990,1,2WD,private,https://www.carsales.com.au/cars/details/2011-toyota-kluger-kx-r-auto-2wd-my11/SSE-AD-12582616/,2022-06-03 21:52:03.293199
2011 Toyota Kluger Grande Auto 2WD MY11,2011,257103,19960,3,2WD,private,https://www.carsales.com.au/cars/details/2011-toyota-kluger-grande-auto-2wd-my11/SSE-AD-12698615/,2022-06-03 21:52:03.293199
2011 Toyota Kluger KX-S Auto AWD MY11,2011,192440,19900,2,AWD,private,https://www.carsales.com.au/cars/details/2011-toyota-kluger-kx-s-auto-awd-my11/SSE-AD-12799640/,2022-06-03 21:52:03.293199
2011 Toyota Kluger KX-R Auto 2WD MY11,2011,204000,18000,1,2WD,private,https://www.carsales.com.au/cars/details/2011-toyota-kluger-kx-r-auto-2wd-my11/SSE-AD-12840807/,2022-06-03 21:52:03.293199
2011 Toyota Kluger KX-R Auto 2WD MY11,2011,124905,18990,1,2WD,dealer,https://www.carsales.com.au/cars/details/2011-toyota-kluger-kx-r-auto-2wd-my11/OAG-AD-20732060/,2022-06-03 21:52:03.293199
2011 Toyota Kluger KX-R Auto 2WD MY11,2011,262661,13900,1,2WD,private,https://www.carsales.com.au/cars/details/2011-toyota-kluger-kx-r-auto-2wd-my11/SSE-AD-12567444/,2022-06-03 21:52:03.293199
2011 Toyota Kluger KX-R Auto AWD MY11,2011,225000,14900,1,AWD,private,https://www.carsales.com.au/cars/details/2011-toyota-kluger-kx-r-auto-awd-my11/SSE-AD-12878638/,2022-06-03 21:52:03.293199
2012 Toyota Kluger Grande Auto 2WD MY12,2012,76654,32990,3,2WD,dealer,https://www.carsales.com.au/cars/details/2012-toyota-kluger-grande-auto-2wd-my12/OAG-AD-20695130/,2022-06-03 21:52:03.293199
2012 Toyota Kluger KX-R Auto 2WD MY12,2012,217033,13990,1,2WD,dealer,https://www.carsales.com.au/cars/details/2012-toyota-kluger-kx-r-auto-2wd-my12/OAG-AD-20712815/,2022-06-03 21:52:03.293199
2012 Toyota Kluger KX-S Auto AWD MY12,2012,184286,20990,2,AWD,private,https://www.carsales.com.au/cars/details/2012-toyota-kluger-kx-s-auto-awd-my12/SSE-AD-7316506/,2022-06-03 21:52:03.293199
2012 Toyota Kluger KX-R Auto AWD MY12,2012,287650,13999,1,AWD,dealer,https://www.carsales.com.au/cars/details/2012-toyota-kluger-kx-r-auto-awd-my12/OAG-AD-20738361/,2022-06-03 21:52:03.293199
2012 Toyota Kluger Altitude Auto AWD MY12,2012,118090,26990,1,AWD,dealer,https://www.carsales.com.au/cars/details/2012-toyota-kluger-altitude-auto-awd-my12/OAG-AD-20369733/,2022-06-03 21:52:03.293199
2012 Toyota Kluger KX-R Auto AWD MY12,2012,180500,23500,1,AWD,private,https://www.carsales.com.au/cars/details/2012-toyota-kluger-kx-r-auto-awd-my12/SSE-AD-12898169/,2022-06-03 21:52:03.293199
2012 Toyota Kluger KX-R Auto 2WD MY12,2012,145000,19000,1,2WD,private,https://www.carsales.com.au/cars/details/2012-toyota-kluger-kx-r-auto-2wd-my12/SSE-AD-12838193/,2022-06-03 21:52:03.293199
2012 Toyota Kluger KX-S Auto AWD MY12,2012,204000,21000,2,AWD,private,https://www.carsales.com.au/cars/details/2012-toyota-kluger-kx-s-auto-awd-my12/SSE-AD-12573085/,2022-06-03 21:52:03.293199
2012 Toyota Kluger KX-R Auto AWD MY12,2012,202000,18990,1,AWD,private,https://www.carsales.com.au/cars/details/2012-toyota-kluger-kx-r-auto-awd-my12/SSE-AD-12788470/,2022-06-03 21:52:03.293199
2012 Toyota Kluger KX-R Auto 2WD MY12,2012,117000,18200,1,2WD,private,https://www.carsales.com.au/cars/details/2012-toyota-kluger-kx-r-auto-2wd-my12/SSE-AD-6632050/,2022-06-03 21:52:03.293199
2013 Toyota Kluger KX-R Auto AWD,2013,99000,26000,1,AWD,private,https://www.carsales.com.au/cars/details/2013-toyota-kluger-kx-r-auto-awd/SSE-AD-12854581/,2022-06-03 21:52:03.293199
2013 Toyota Kluger KX-S Auto AWD,2013,80153,32990,2,AWD,dealer,https://www.carsales.com.au/cars/details/2013-toyota-kluger-kx-s-auto-awd/OAG-AD-20756270/,2022-06-03 21:52:03.293199
2013 Toyota Kluger Grande Auto 2WD,2013,139000,31000,3,2WD,private,https://www.carsales.com.au/cars/details/2013-toyota-kluger-grande-auto-2wd/SSE-AD-12916200/,2022-06-03 21:52:03.293199
2013 Toyota Kluger Grande Auto AWD,2013,98630,31000,3,AWD,private,https://www.carsales.com.au/cars/details/2013-toyota-kluger-grande-auto-awd/SSE-AD-7279042/,2022-06-03 21:52:03.293199
2013 Toyota Kluger Grande Auto 2WD,2013,229000,19800,3,2WD,private,https://www.carsales.com.au/cars/details/2013-toyota-kluger-grande-auto-2wd/SSE-AD-12711263/,2022-06-03 21:52:03.293199
2013 Toyota Kluger Grande Auto 2WD,2013,216500,24500,3,2WD,private,https://www.carsales.com.au/cars/details/2013-toyota-kluger-grande-auto-2wd/SSE-AD-12346899/,2022-06-03 21:52:03.293199
2013 Toyota Kluger KX-S Auto AWD,2013,175739,24900,2,AWD,dealer,https://www.carsales.com.au/cars/details/2013-toyota-kluger-kx-s-auto-awd/OAG-AD-20775191/,2022-06-03 21:52:03.293199
2013 Toyota Kluger KX-R Auto 2WD,2013,165163,17000,1,2WD,private,https://www.carsales.com.au/cars/details/2013-toyota-kluger-kx-r-auto-2wd/SSE-AD-12038218/,2022-06-03 21:52:03.293199
2013 Toyota Kluger Altitude Auto 2WD,2013,188284,25990,1,2WD,private,https://www.carsales.com.au/cars/details/2013-toyota-kluger-altitude-auto-2wd/OAG-AD-20795777/,2022-06-03 21:52:03.293199
2014 Toyota Kluger GX Auto 2WD,2014,229338,18990,1,2WD,dealer,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gx-auto-2wd/OAG-AD-20718427/,2022-06-03 21:52:03.293199
2014 Toyota Kluger Grande Auto AWD,2014,119500,35990,3,AWD,dealer,https://www.carsales.com.au/cars/details/2014-toyota-kluger-grande-auto-awd/OAG-AD-20768266/,2022-06-03 21:52:03.293199
2014 Toyota Kluger Grande Auto AWD,2014,107469,37990,3,AWD,dealer,https://www.carsales.com.au/cars/details/2014-toyota-kluger-grande-auto-awd/OAG-AD-20627310/,2022-06-03 21:52:03.293199
2014 Toyota Kluger GX Auto 2WD,2014,142000,26990,1,2WD,private,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gx-auto-2wd/SSE-AD-12499524/,2022-06-03 21:52:03.293199
2014 Toyota Kluger Grande Auto 2WD,2014,68669,42750,3,2WD,dealer,https://www.carsales.com.au/cars/details/2014-toyota-kluger-grande-auto-2wd/OAG-AD-20669024/,2022-06-03 21:52:03.293199
2014 Toyota Kluger GXL Auto 2WD,2014,139688,32490,2,2WD,dealer,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gxl-auto-2wd/OAG-AD-20729806/,2022-06-03 21:52:03.293199
2014 Toyota Kluger GXL Auto 2WD,2014,175000,26990,2,2WD,private,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gxl-auto-2wd/SSE-AD-5497502/,2022-06-03 21:52:03.293199
2014 Toyota Kluger GX Auto 2WD,2014,99000,28990,1,2WD,private,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gx-auto-2wd/SSE-AD-12462680/,2022-06-03 21:52:03.293199
2014 Toyota Kluger Grande Auto AWD,2014,101900,37500,3,AWD,private,https://www.carsales.com.au/cars/details/2014-toyota-kluger-grande-auto-awd/SSE-AD-12752087/,2022-06-03 21:52:03.293199
2014 Toyota Kluger GX Auto AWD,2014,86058,33990,1,AWD,dealer,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gx-auto-awd/OAG-AD-20608208/,2022-06-03 21:52:03.293199
2014 Toyota Kluger Grande Auto AWD,2014,93783,42990,3,AWD,dealer,https://www.carsales.com.au/cars/details/2014-toyota-kluger-grande-auto-awd/OAG-AD-20684158/,2022-06-03 21:52:03.293199
2014 Toyota Kluger GXL Auto AWD,2014,219634,23990,2,AWD,dealer,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gxl-auto-awd/OAG-AD-20639123/,2022-06-03 21:52:03.293199
2014 Toyota Kluger GX Auto 2WD,2014,141060,27888,1,2WD,dealer,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gx-auto-2wd/OAG-AD-20417992/,2022-06-03 21:52:03.293199
2014 Toyota Kluger GX Auto AWD,2014,89562,34850,1,AWD,dealer,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gx-auto-awd/OAG-AD-20786769/,2022-06-03 21:52:03.293199
2014 Toyota Kluger Grande Auto 2WD,2014,225914,28990,3,2WD,dealer,https://www.carsales.com.au/cars/details/2014-toyota-kluger-grande-auto-2wd/OAG-AD-20777494/,2022-06-03 21:52:03.293199
2014 Toyota Kluger GX Auto 2WD,2014,166521,29990,1,2WD,dealer,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gx-auto-2wd/OAG-AD-20756010/,2022-06-03 21:52:03.293199
2014 Toyota Kluger Grande Auto AWD,2014,79806,39990,3,AWD,dealer,https://www.carsales.com.au/cars/details/2014-toyota-kluger-grande-auto-awd/OAG-AD-20648965/,2022-06-03 21:52:03.293199
2014 Toyota Kluger Grande Auto 2WD,2014,111318,38990,3,2WD,dealer,https://www.carsales.com.au/cars/details/2014-toyota-kluger-grande-auto-2wd/OAG-AD-20778138/,2022-06-03 21:52:03.293199
2014 Toyota Kluger GX Auto AWD,2014,147119,29990,1,AWD,dealer,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gx-auto-awd/OAG-AD-19792282/,2022-06-03 21:52:03.293199
2014 Toyota Kluger GX Auto AWD,2014,90275,31500,1,AWD,private,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gx-auto-awd/SSE-AD-12621245/,2022-06-03 21:52:03.293199
2014 Toyota Kluger GX Auto AWD,2014,319000,21500,1,AWD,private,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gx-auto-awd/SSE-AD-7179361/,2022-06-03 21:52:03.293199
2014 Toyota Kluger GXL Auto 2WD,2014,143483,29990,2,2WD,dealer,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gxl-auto-2wd/OAG-AD-20693025/,2022-06-03 21:52:03.293199
2014 Toyota Kluger Grande Auto AWD,2014,105201,38990,3,AWD,dealer,https://www.carsales.com.au/cars/details/2014-toyota-kluger-grande-auto-awd/OAG-AD-20703316/,2022-06-03 21:52:03.293199
2014 Toyota Kluger GX Auto 2WD,2014,134568,30488,1,2WD,dealer,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gx-auto-2wd/OAG-AD-20695501/,2022-06-03 21:52:03.293199
2014 Toyota Kluger Grande Auto 2WD,2014,71243,39500,3,2WD,private,https://www.carsales.com.au/cars/details/2014-toyota-kluger-grande-auto-2wd/SSE-AD-12059000/,2022-06-03 21:52:03.293199
2014 Toyota Kluger GXL Auto 2WD,2014,147000,28000,2,2WD,private,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gxl-auto-2wd/SSE-AD-12403108/,2022-06-03 21:52:03.293199
2015 Toyota Kluger Grande Auto 2WD,2015,74002,40190,3,2WD,dealer,https://www.carsales.com.au/cars/details/2015-toyota-kluger-grande-auto-2wd/OAG-AD-20354855/,2022-06-03 21:52:03.293199
2015 Toyota Kluger GX Auto 2WD,2015,89881,34190,1,2WD,dealer,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gx-auto-2wd/OAG-AD-20740556/,2022-06-03 21:52:03.293199
2015 Toyota Kluger GX Auto 2WD,2015,66000,39990,1,2WD,private,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gx-auto-2wd/SSE-AD-12924600/,2022-06-03 21:52:03.293199
2015 Toyota Kluger GXL Auto 2WD,2015,165817,28990,2,2WD,dealer,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gxl-auto-2wd/OAG-AD-20489658/,2022-06-03 21:52:03.293199
2015 Toyota Kluger GX Auto AWD,2015,207962,27990,1,AWD,dealer,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gx-auto-awd/OAG-AD-20742125/,2022-06-03 21:52:03.293199
2015 Toyota Kluger GXL Auto AWD,2015,150381,32888,2,AWD,dealer,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gxl-auto-awd/OAG-AD-20572168/,2022-06-03 21:52:03.293199
2015 Toyota Kluger GXL Auto 2WD,2015,174065,31888,2,2WD,dealer,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gxl-auto-2wd/OAG-AD-20679600/,2022-06-03 21:52:03.293199
2015 Toyota Kluger GXL Auto AWD,2015,143215,33750,2,AWD,private,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gxl-auto-awd/SSE-AD-12915870/,2022-06-03 21:52:03.293199
2015 Toyota Kluger GX Auto 2WD,2015,143000,27995,1,2WD,private,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gx-auto-2wd/SSE-AD-12720105/,2022-06-03 21:52:03.293199
2015 Toyota Kluger Grande Auto AWD,2015,84894,41490,3,AWD,dealer,https://www.carsales.com.au/cars/details/2015-toyota-kluger-grande-auto-awd/OAG-AD-20485351/,2022-06-03 21:52:03.293199
2015 Toyota Kluger GXL Auto 2WD,2015,187250,26990,2,2WD,dealer,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gxl-auto-2wd/OAG-AD-20782589/,2022-06-03 21:52:03.293199
2015 Toyota Kluger GXL Auto AWD,2015,97266,36990,2,AWD,dealer,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gxl-auto-awd/OAG-AD-20449072/,2022-06-03 21:52:03.293199
2015 Toyota Kluger GX Auto 2WD,2015,141165,29990,1,2WD,private,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gx-auto-2wd/SSE-AD-12478140/,2022-06-03 21:52:03.293199
2015 Toyota Kluger GXL Auto 2WD,2015,79932,36990,2,2WD,dealer,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gxl-auto-2wd/OAG-AD-20610161/,2022-06-03 21:52:03.293199
2015 Toyota Kluger GX Auto 2WD,2015,163014,30000,1,2WD,dealer,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gx-auto-2wd/OAG-AD-20433270/,2022-06-03 21:52:03.293199
2015 Toyota Kluger GX Auto AWD,2015,133505,31990,1,AWD,dealer,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gx-auto-awd/OAG-AD-20777070/,2022-06-03 21:52:03.293199
2015 Toyota Kluger GX Auto 2WD,2015,186361,25990,1,2WD,dealer,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gx-auto-2wd/OAG-AD-20691046/,2022-06-03 21:52:03.293199
2015 Toyota Kluger GXL Auto 2WD,2015,107179,35000,2,2WD,private,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gxl-auto-2wd/SSE-AD-12652714/,2022-06-03 21:52:03.293199
2015 Toyota Kluger GX Auto 2WD,2015,146233,29746,1,2WD,dealer,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gx-auto-2wd/OAG-AD-20753419/,2022-06-03 21:52:03.293199
2015 Toyota Kluger GX Auto 2WD,2015,99414,32990,1,2WD,private,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gx-auto-2wd/OAG-AD-20760681/,2022-06-03 21:52:03.293199
2015 Toyota Kluger GX Auto AWD,2015,150000,27990,1,AWD,private,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gx-auto-awd/SSE-AD-7446790/,2022-06-03 21:52:03.293199
2016 Toyota Kluger GXL Auto 2WD,2016,91902,41650,2,2WD,dealer,https://www.carsales.com.au/cars/details/2016-toyota-kluger-gxl-auto-2wd/OAG-AD-20740735/,2022-06-03 21:52:03.293199
2016 Toyota Kluger GX Auto 2WD,2016,64942,39890,1,2WD,dealer,https://www.carsales.com.au/cars/details/2016-toyota-kluger-gx-auto-2wd/OAG-AD-20514249/,2022-06-03 21:52:03.293199
2016 Toyota Kluger GX Auto AWD,2016,64137,38390,1,AWD,dealer,https://www.carsales.com.au/cars/details/2016-toyota-kluger-gx-auto-awd/OAG-AD-20689841/,2022-06-03 21:52:03.293199
2016 Toyota Kluger GX Auto 2WD,2016,55499,41390,1,2WD,dealer,https://www.carsales.com.au/cars/details/2016-toyota-kluger-gx-auto-2wd/OAG-AD-20696326/,2022-06-03 21:52:03.293199
2016 Toyota Kluger GX Auto 2WD,2016,66918,37888,1,2WD,dealer,https://www.carsales.com.au/cars/details/2016-toyota-kluger-gx-auto-2wd/OAG-AD-20587443/,2022-06-03 21:52:03.293199
2016 Toyota Kluger Grande Auto AWD,2016,125000,41250,3,AWD,private,https://www.carsales.com.au/cars/details/2016-toyota-kluger-grande-auto-awd/SSE-AD-12902702/,2022-06-03 21:52:03.293199
2016 Toyota Kluger GXL Auto 2WD,2016,69493,37000,2,2WD,private,https://www.carsales.com.au/cars/details/2016-toyota-kluger-gxl-auto-2wd/SSE-AD-7308137/,2022-06-03 21:52:03.293199
2016 Toyota Kluger GX Auto 2WD,2016,107089,32990,1,2WD,dealer,https://www.carsales.com.au/cars/details/2016-toyota-kluger-gx-auto-2wd/OAG-AD-20515375/,2022-06-03 21:52:03.293199
2016 Toyota Kluger GXL Auto AWD,2016,107144,39895,2,AWD,dealer,https://www.carsales.com.au/cars/details/2016-toyota-kluger-gxl-auto-awd/OAG-AD-20727827/,2022-06-03 21:52:03.293199
2016 Toyota Kluger Grande Auto AWD,2016,78122,44880,3,AWD,dealer,https://www.carsales.com.au/cars/details/2016-toyota-kluger-grande-auto-awd/OAG-AD-20427702/,2022-06-03 21:52:03.293199
2016 Toyota Kluger GX Auto 2WD,2016,98820,33990,1,2WD,dealer,https://www.carsales.com.au/cars/details/2016-toyota-kluger-gx-auto-2wd/OAG-AD-20757604/,2022-06-03 21:52:03.293199
2016 Toyota Kluger GX Auto 2WD,2016,81000,34990,1,2WD,dealer,https://www.carsales.com.au/cars/details/2016-toyota-kluger-gx-auto-2wd/OAG-AD-20653533/,2022-06-03 21:52:03.293199
2016 Toyota Kluger GX Auto AWD,2016,149852,36990,1,AWD,dealer,https://www.carsales.com.au/cars/details/2016-toyota-kluger-gx-auto-awd/OAG-AD-20180043/,2022-06-03 21:52:03.293199
2016 Toyota Kluger Grande Auto AWD,2016,121580,45990,3,AWD,dealer,https://www.carsales.com.au/cars/details/2016-toyota-kluger-grande-auto-awd/OAG-AD-20692461/,2022-06-03 21:52:03.293199
2016 Toyota Kluger Grande Auto AWD,2016,54000,48000,3,AWD,private,https://www.carsales.com.au/cars/details/2016-toyota-kluger-grande-auto-awd/SSE-AD-12447352/,2022-06-03 21:52:03.293199
2016 Toyota Kluger GX Auto 2WD,2016,74500,33000,1,2WD,private,https://www.carsales.com.au/cars/details/2016-toyota-kluger-gx-auto-2wd/SSE-AD-12256872/,2022-06-03 21:52:03.293199
2016 Toyota Kluger GX Auto 2WD,2016,103683,33410,1,2WD,dealer,https://www.carsales.com.au/cars/details/2016-toyota-kluger-gx-auto-2wd/OAG-AD-20590985/,2022-06-03 21:52:03.293199
2016 Toyota Kluger GX Auto 2WD,2016,137000,27000,1,2WD,private,https://www.carsales.com.au/cars/details/2016-toyota-kluger-gx-auto-2wd/SSE-AD-12030628/,2022-06-03 21:52:03.293199
2016 Toyota Kluger GXL Auto 2WD,2016,89000,38000,2,2WD,private,https://www.carsales.com.au/cars/details/2016-toyota-kluger-gxl-auto-2wd/SSE-AD-12177637/,2022-06-03 21:52:03.293199
2016 Toyota Kluger Grande Auto AWD,2016,125000,43000,3,AWD,private,https://www.carsales.com.au/cars/details/2016-toyota-kluger-grande-auto-awd/SSE-AD-12497763/,2022-06-03 21:52:03.293199
2016 Toyota Kluger GX Auto 2WD,2016,203000,31500,1,2WD,private,https://www.carsales.com.au/cars/details/2016-toyota-kluger-gx-auto-2wd/SSE-AD-12360397/,2022-06-03 21:52:03.293199
2017 Toyota Kluger GXL Auto AWD,2017,70834,43490,2,AWD,dealer,https://www.carsales.com.au/cars/details/2017-toyota-kluger-gxl-auto-awd/OAG-AD-20311133/,2022-06-03 21:52:03.293199
2017 Toyota Kluger GX Auto 2WD,2017,70700,36500,1,2WD,private,https://www.carsales.com.au/cars/details/2017-toyota-kluger-gx-auto-2wd/SSE-AD-12860795/,2022-06-03 21:52:03.293199
2017 Toyota Kluger GX Auto 2WD,2017,74000,38990,1,2WD,dealer,https://www.carsales.com.au/cars/details/2017-toyota-kluger-gx-auto-2wd/OAG-AD-20686845/,2022-06-03 21:52:03.293199
2017 Toyota Kluger GX Auto 2WD,2017,70377,37990,1,2WD,dealer,https://www.carsales.com.au/cars/details/2017-toyota-kluger-gx-auto-2wd/OAG-AD-20587614/,2022-06-03 21:52:03.293199
2017 Toyota Kluger GX Auto 2WD,2017,135100,37990,1,2WD,dealer,https://www.carsales.com.au/cars/details/2017-toyota-kluger-gx-auto-2wd/OAG-AD-20749788/,2022-06-03 21:52:03.293199
